1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
34,0.018748269,0.020277899,0.022185386,0.023468235,0.025195654,0.026265418,0.027822044,0.029300063,0.030115649,0.030981316,0.031631099,0.032214429,0.032739417,0.033214173,0.033646812,0.034045449,0.034565341,0.034886615,0.035179625,0.035449383,0.035700901,0.036084469,0.036286578,0.036471161,0.036640921,0.03679856,0.036946655,0.037072412,0.037186713,0.037291095,0.037387094,0.051446305,0.051550757
35,0.017419114,0.01993157,0.021658108,0.022924691,0.024637014,0.025694057,0.027239607,0.028708757,0.029515384,0.030844119,0.031492453,0.032074496,0.032598333,0.033072056,0.03350376,0.033901541,0.034420745,0.034741337,0.035033728,0.035302918,0.035553908,0.035937105,0.036138793,0.036322993,0.036492402,0.036649715,0.036946655,0.037072412,0.037186713,0.037291095,0.037387094,0.045134677,0.04522643
36,0.016186076,0.01993157,0.020562225,0.021797161,0.024079031,0.025123312,0.026656884,0.028116296,0.028913944,0.030235951,0.030877336,0.031453202,0.03197153,0.032440311,0.032867543,0.033261229,0.034276027,0.034595937,0.034887709,0.035156331,0.035406793,0.035789611,0.035990879,0.036174695,0.036343752,0.03650074,0.036797495,0.036922994,0.03703706,0.037141227,0.037237029,0.039596345,0.039676941
37,0.015042119,0.019636715,0.019480127,0.020683023,0.02292337,0.023942755,0.026074741,0.027523524,0.028312171,0.029626594,0.030261016,0.030830693,0.031343501,0.03180733,0.032230081,0.032619666,0.033631853,0.033948507,0.034237323,0.034503235,0.03475118,0.035641996,0.035842842,0.036026276,0.036194981,0.036351642,0.036648206,0.036773446,0.036887277,0.03699123,0.037086835,0.037504477,0.037580707
38,0.012471476,0.01934668,0.018838604,0.019588263,0.021780769,0.022774976,0.024871933,0.0269313,0.027710917,0.029016883,0.029644323,0.030207797,0.030715072,0.031173937,0.031592197,0.031977671,0.03298642,0.033299812,0.033585667,0.033848864,0.034094288,0.034984,0.035182842,0.03536445,0.03553148,0.03568659,0.036498795,0.036623776,0.036737371,0.03684111,0.036936518,0.037504477,0.037580707
39,0.010347712,0.019061469,0.018838604,0.01851784,0.020657165,0.021625872,0.023681659,0.025708794,0.026470755,0.028407668,0.029028108,0.02958536,0.030087086,0.030540973,0.030954729,0.03133608,0.032340546,0.032650669,0.032933555,0.033194032,0.03343693,0.034324721,0.034521555,0.034701334,0.034866687,0.035020243,0.03583206,0.035955438,0.036067579,0.03616999,0.036264179,0.037353781,0.037429855
40,0.009344528,0.017672054,0.018467487,0.017490556,0.0195575,0.020500366,0.02250978,0.024498614,0.025242734,0.027151928,0.02775866,0.028303725,0.028794576,0.029238704,0.029643628,0.030016891,0.031695067,0.032001911,0.032281822,0.032539571,0.032779935,0.033664971,0.033859792,0.034037738,0.03420141,0.034353408,0.035164026,0.035285798,0.035396482,0.035497563,0.03559053,0.037202954,0.037278872
41,0.009344528,0.016392861,0.01816639,0.017490556,0.018485828,0.019402515,0.021361205,0.023306589,0.024032659,0.025908173,0.026501061,0.02703382,0.027513693,0.02794797,0.028343979,0.02870908,0.030368273,0.030668683,0.030942752,0.031195144,0.031430533,0.033005577,0.033198381,0.033374489,0.033536475,0.033686912,0.034495501,0.034615666,0.03472489,0.03482464,0.034916383,0.037052004,0.037127766
42,0.010795348,0.015215375,0.017871125,0.017180706,0.016551047,0.017401659,0.02023999,0.022137613,0.02284541,0.024682183,0.025261071,0.025781387,0.026250161,0.02667448,0.027061479,0.027418331,0.029052789,0.029346707,0.029614881,0.029861869,0.030092237,0.031651489,0.031840328,0.032012826,0.0321715,0.032318869,0.033827313,0.033945868,0.034053631,0.034152048,0.034242567,0.036377156,0.03645195
43,0.010795348,0.014130592,0.017581546,0.016877408,0.015989063,0.015529112,0.018179721,0.020995744,0.021685044,0.023478826,0.024043547,0.024551274,0.02500882,0.025423067,0.025800954,0.026149464,0.027754289,0.028041647,0.028303866,0.028545394,0.028770691,0.030308467,0.030493307,0.030662164,0.030817497,0.03096177,0.032456047,0.032571583,0.032676605,0.032772522,0.032860744,0.035700996,0.035774819
44,0.010559919,0.012183312,0.016740461,0.016580624,0.015989063,0.01441873,0.016248894,0.018882601,0.019524264,0.022302158,0.022852544,0.023347534,0.023793722,0.024197781,0.024566452,0.024906527,0.026477587,0.026758312,0.02701451,0.027250519,0.02747069,0.028982147,0.029162949,0.029328128,0.029480086,0.029621234,0.031095713,0.031208227,0.031310505,0.03140392,0.031489842,0.035024337,0.03509719
45,0.01032955,0.010524473,0.015944923,0.015496351,0.015640075,0.01441873,0.014457409,0.016899875,0.017494758,0.020099188,0.020612297,0.021074039,0.021490475,0.021867766,0.022212154,0.022529947,0.025226729,0.025500748,0.025750858,0.025981287,0.026196276,0.027677325,0.027854044,0.028015505,0.028164053,0.028302041,0.029751927,0.029861418,0.029960952,0.030051864,0.030135487,0.034348014,0.034419894
46,0.010104235,0.009104894,0.015192959,0.014494758,0.015300309,0.014047127,0.012853318,0.01505788,0.0156072,0.018028228,0.0185047,0.018933753,0.019320928,0.019671885,0.01999238,0.020288246,0.022829261,0.02308549,0.023319424,0.023535,0.023736176,0.026398037,0.02657063,0.026728332,0.026873433,0.027008228,0.028429471,0.028535942,0.028632734,0.028721145,0.028802471,0.032962546,0.033032605
47,0.008470669,0.008526603,0.014481975,0.013569677,0.014969647,0.0136872,0.012853318,0.013361348,0.013866629,0.016100274,0.016541023,0.016938188,0.01729681,0.017622063,0.017919228,0.018193677,0.020567001,0.020805717,0.021023724,0.021224675,0.021412247,0.023925002,0.024086567,0.024234216,0.024370087,0.024496323,0.027132382,0.027235838,0.027329893,0.027415808,0.02749484,0.031588035,0.031656272
48,0.007098132,0.008526603,0.013130235,0.012714343,0.013939123,0.01333873,0.012469163,0.011810662,0.012273679,0.014320629,0.014726806,0.015093093,0.015424052,0.015724391,0.015998938,0.016252616,0.018452351,0.018673954,0.018876396,0.019063051,0.019237324,0.021588334,0.021739036,0.021876782,0.022003559,0.022121363,0.024612505,0.024709243,0.024797199,0.024877548,0.024951467,0.030230118,0.030296531
49,0.005948594,0.010016571,0.011921666,0.010923048,0.01299215,0.01240644,0.012099047,0.01133831,0.010825577,0.01269015,0.013063094,0.013399683,0.013704022,0.013980376,0.014233136,0.0144668,0.016491809,0.016696806,0.016884139,0.017056916,0.017218276,0.019400959,0.019541039,0.019669099,0.019786982,0.019896538,0.022229717,0.022319877,0.022401861,0.022476761,0.022545672,0.028893593,0.028958185
