1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
49,0.00010154,0.000411629,0.000387559,0.000622812,0.000494869,0.000635182,0.000744106,0.000919399,0.001070314,0.000860351,0.000863494,0.000866219,0.000868595,0.000870684,0.000872539,0.000874208,0.000668959,0.000669598,0.000670168,0.000670683,0.000671153,0.000485977,0.000486067,0.000694876,0.000696547,0.000610777,0.000611946,0.000401375,0.000401759,0.000335084,0.000335342,0.000268461,0.000194391
50,0.000107126,0.00042131,0.00047587,0.000805208,0.000591052,0.000745727,0.000792825,0.000919399,0.001223992,0.001076215,0.001081284,0.001085696,0.001089559,0.001092966,0.001096001,0.001098741,0.000875775,0.000877063,0.000878217,0.000879263,0.000880224,0.00067161,0.000671975,0.000871647,0.000874373,0.000767201,0.000769119,0.000525465,0.000526238,0.000439109,0.000439632,0.00035209,0.000268644
51,0.000107502,0.000430872,0.000561734,0.000974436,0.000689287,0.000858484,0.000917377,0.000979328,0.001223992,0.001451358,0.001460363,0.001468242,0.001475171,0.001481309,0.001486799,0.001491772,0.001101305,0.00110343,0.001105339,0.001107073,0.001108669,0.00088114,0.00088189,0.001180137,0.001185047,0.001040759,0.00104424,0.000660783,0.000662058,0.00055267,0.000553537,0.000443468,0.000352456
52,0.000107502,0.000458034,0.000643526,0.00112564,0.000911358,0.00097184,0.001044013,0.001039971,0.001295801,0.001552682,0.001853624,0.001865841,0.001876616,0.001886185,0.001894764,0.00190255,0.001496422,0.001500303,0.0015038,0.001506982,0.001509919,0.001110179,0.00111143,0.001501293,0.001508948,0.001326335,0.001331785,0.000897853,0.000900182,0.0007519,0.000753491,0.000603968,0.000444072
53,0.000107655,0.000458034,0.000757372,0.001164466,0.001123955,0.00122276,0.001171126,0.001101144,0.001367963,0.001552682,0.001895299,0.00224272,0.002276937,0.002290536,0.002302748,0.002313849,0.001909828,0.001915928,0.001921432,0.001926448,0.001931082,0.001512685,0.001514996,0.00182155,0.001832429,0.001611924,0.001619694,0.001145897,0.001149557,0.000960716,0.000963224,0.000772433,0.000605074
54,0.000107808,0.000470887,0.000772583,0.001164466,0.001318928,0.001458781,0.00129723,0.001245688,0.001440247,0.001634888,0.001895299,0.00224272,0.002586655,0.002680376,0.002696651,0.002711464,0.002324223,0.002332942,0.002340817,0.002348002,0.002354646,0.001935439,0.001939096,0.002069324,0.002144301,0.001887656,0.001898025,0.001394534,0.001399765,0.001170409,0.001174001,0.000941858,0.000774176
55,0.000107962,0.000483584,0.000772583,0.001184066,0.001492145,0.001672736,0.001577113,0.001390333,0.001612389,0.001716935,0.001979134,0.002323929,0.002586655,0.002920159,0.003065532,0.003084338,0.002725307,0.002736966,0.002747504,0.002757128,0.002766033,0.002360884,0.002366135,0.002069324,0.002336127,0.002145872,0.002159037,0.001635184,0.00164218,0.001373752,0.001378564,0.001106413,0.000944354
56,0.000107982,0.00049609,0.000788431,0.00120333,0.001563588,0.001861186,0.001834787,0.001533415,0.001781941,0.001798555,0.002062326,0.002404134,0.002684437,0.002920159,0.003237645,0.003424312,0.003101915,0.003116743,0.003130156,0.003142412,0.00315376,0.002774386,0.002781432,0.00214755,0.002336127,0.002266352,0.002397018,0.001861149,0.001870046,0.001565078,0.001571206,0.001261504,0.001109754
57,0.000107982,0.000533894,0.000804025,0.001222298,0.001563588,0.001959526,0.002063881,0.001673451,0.00194688,0.001995173,0.002144631,0.002483135,0.002761782,0.003019142,0.003237645,0.003534762,0.003445778,0.003463912,0.003480325,0.003495332,0.003509235,0.003164399,0.003173389,0.002209426,0.002415314,0.002266352,0.002474333,0.002067467,0.002078347,0.001740163,0.001747666,0.001403694,0.00126576
58,0.000108191,0.00056904,0.000819399,0.001282719,0.00158505,0.001959526,0.002261812,0.001965657,0.002105525,0.00218559,0.002353699,0.002688081,0.002837571,0.00309745,0.003336531,0.003534762,0.003808688,0.003942761,0.003964437,0.003984283,0.004002694,0.003522264,0.003533287,0.002270057,0.00247796,0.002335572,0.002474333,0.002285213,0.002365657,0.001982219,0.001992142,0.001601078,0.001408906
59,0.000108404,0.00060102,0.000865154,0.00134162,0.001606125,0.001981663,0.002344257,0.002228929,0.002401422,0.002367495,0.002553242,0.002881599,0.002911675,0.003173673,0.003414519,0.003631998,0.003808688,0.004053424,0.004269644,0.00436057,0.004383179,0.004019946,0.004034578,0.00232934,0.002538938,0.002390163,0.002542399,0.002285213,0.002432054,0.002134822,0.002180285,0.001753272,0.001607978
60,0.000108619,0.000629502,0.00090997,0.001399851,0.001626856,0.002003382,0.002344257,0.002458517,0.002660419,0.002539106,0.002740946,0.003061728,0.003088015,0.003247693,0.003489842,0.003708331,0.003894977,0.004053424,0.004269644,0.004457067,0.004615987,0.004404366,0.004422364,0.002470412,0.002598154,0.002442889,0.002595832,0.002336986,0.002432054,0.002134822,0.002228534,0.001846395,0.001761746
61,0.00011086,0.000674712,0.000943074,0.001458057,0.001697861,0.002024726,0.002366129,0.002653069,0.002879721,0.002830883,0.002915154,0.003227165,0.003252777,0.003418211,0.003562396,0.003781364,0.00397655,0.004140071,0.004343084,0.004457067,0.004615987,0.004674809,0.004695772,0.002602222,0.002734569,0.002493677,0.002646955,0.00238593,0.002484043,0.002171542,0.002228534,0.001846395,0.001869924
62,0.000113195,0.000704516,0.000943074,0.001485283,0.001766783,0.002101816,0.002387564,0.002709683,0.003051304,0.003077676,0.003198446,0.003498838,0.003404811,0.003575016,0.003723756,0.003851014,0.004053197,0.004220368,0.004410379,0.004527309,0.004671526,0.004747183,0.004849012,0.002723849,0.002860013,0.002606629,0.00269571,0.002431918,0.002532221,0.00220519,0.002263655,0.00186861,0.001898873
63,0.000115496,0.000704516,0.000967927,0.001485283,0.001834793,0.002176414,0.002408611,0.002709683,0.003051304,0.003278673,0.003429992,0.003714133,0.003543459,0.003717149,0.003869332,0.004000088,0.004202328,0.004294119,0.004471398,0.004589422,0.004719421,0.004747183,0.004849012,0.002834767,0.002973719,0.002708532,0.002800062,0.002521397,0.002576471,0.002235699,0.002294711,0.001887768,0.001898873
64,0.000117654,0.000705365,0.00099257,0.001523437,0.001902781,0.002249996,0.00248774,0.002730566,0.003070086,0.003363775,0.003610698,0.003875293,0.003789262,0.003844198,0.003998385,0.004131386,0.00432953,0.004421945,0.004580775,0.004643337,0.004759666,0.004787167,0.004876652,0.00303141,0.003075358,0.00279887,0.00289197,0.002597718,0.002653167,0.002290388,0.002321669,0.001903866,0.001914867
65,0.000123,0.000706202,0.001016891,0.001554464,0.002044362,0.002323694,0.00256415,0.002747307,0.003088457,0.003363775,0.003644637,0.003892794,0.003976534,0.004060116,0.004110779,0.004244422,0.004434415,0.004526214,0.004665182,0.004726517,0.004821279,0.004820642,0.00489817,0.003181227,0.003248093,0.002877545,0.002971095,0.002660649,0.002715728,0.002332591,0.002363259,0.001928512,0.001928257
66,0.000124499,0.00070703,0.001074913,0.001585159,0.002052454,0.002477634,0.002639597,0.002763774,0.003106461,0.003380514,0.003644637,0.003892794,0.004106351,0.00421413,0.004291292,0.004339364,0.004517486,0.004606898,0.004724986,0.004783454,0.004855605,0.004847636,0.004913628,0.003285081,0.003371304,0.003003904,0.003037555,0.002710492,0.002764139,0.002362493,0.002391727,0.001942242,0.001939054
67,0.000124499,0.000711278,0.001129576,0.001615388,0.002052454,0.00261862,0.002715436,0.002779998,0.003180199,0.00339686,0.003659061,0.003904739,0.004106351,0.004288225,0.004407507,0.004479784,0.004619566,0.004664927,0.00476151,0.004814946,0.00486392,0.004888331,0.00493003,0.003285081,0.00343058,0.003085255,0.003135849,0.00277174,0.002798956,0.002380755,0.002407473,0.001945568,0.001955332
68,0.000124584,0.00071553,0.001179984,0.001683819,0.002090316,0.00261862,0.002875006,0.002841973,0.003251245,0.00341286,0.003673118,0.00391635,0.004115814,0.004288225,0.004438766,0.004554499,0.004654281,0.004717997,0.004773452,0.004822805,0.004848477,0.004900842,0.004917563,0.003292651,0.00343058,0.003107136,0.003188149,0.002792569,0.002830798,0.002386726,0.002411403,0.001939391,0.001960337
